en-de	gold	0	(PERSON2) Ja, das ist das einzige, was ich für positive Einschränkungen getan habe.	( PERSON2 ) Ja , das ist das einzige , was ich für positive Einschränkungen getan habe . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	1	Mit den negativen Einschränkungen habe ich etwas etwas komplizierteres in der Entschlüsselung gemacht.	Mit den negativen Einschränkungen habe ich etwas etwas komplizierteres in der Entschlüsselung gemacht . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	2	So wie das Filtern der Balken und das Ersetzen durch andere.	So wie das Filtern der Balken und das Ersetzen durch andere . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	3	Und für Multi-Token-Beschränkungen und solche Sachen.	Und für Multi-Token-Beschränkungen und solche Sachen . <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	4	Aber für die positiven Einschränkungen, habe ich nur den Trainingsansatz mit ja nur diese sehr einfache Sache verglichen.	Aber für die positiven Einschränkungen , habe ich nur den Trainingsansatz mit ja nur diese sehr einfache Sache verglichen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK BAD OK BAD BAD BAD BAD OK OK OK
en-de	gold	5	Ich modifiziere nur die Punkte in jedem Schritt auf die gleiche Weise.	Ich modifiziere nur die Punkte in jedem Schritt auf die gleiche Weise . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	6	Okay, zurück zu den positiven Einschränkungen.	Okay , zurück zu den positiven Einschränkungen . <EOS>	BAD OK OK OK OK OK OK OK OK
en-de	gold	7	Haben Sie sich bereits auf die Analyse des Systems konzentriert?	Haben Sie sich bereits auf die Analyse des Systems konzentriert ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	8	(PERSON2) Ja, im Moment warte ich auf die Wiederaufbereitung des Datensatzes von [Person9].	( PERSON2 ) Ja , im Moment warte ich auf die Wiederaufbereitung des Datensatzes von [ Person9 ] . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK
en-de	gold	9	Auch [PERSON9] Ich habe einen Blick auf den (Code), und ich denke, ich weiß, warum es so langsam ist.	Auch [ PERSON9 ] Ich habe einen Blick auf den ( Code ) , und ich denke , ich weiß , warum es so langsam ist . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	10	Denn für jeden Eintrag in der Terminologie der (Europar-) Wiederaufbereitung öffnet man den Datensatz, tokeniziert ihn, liest ihn Zeile für Linie, tokenisiert ihm Zeilaufgabe und schließt ihn dann.	Denn für jeden Eintrag in der Terminologie der ( Europar- ) Wiederaufbereitung öffnet man den Datensatz , tokeniziert ihn , liest ihn Zeile für Linie , tokenisiert ihm Zeilaufgabe und schließt ihn dann . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK BAD BAD OK OK OK OK OK OK
en-de	gold	11	Aber nur du kannst das...	Aber nur du kannst das ... <EOS>	OK OK OK OK OK BAD OK
en-de	gold	12	(PERSON11) <parallel_talk> Für ASR sollten wir auch eine ergänzende Metrik hinzufügen - eigentlich mehr, wir sollten diese komplementären Metri-	( PERSON11 ) < parallel _ talk > Für ASR sollten wir auch eine ergänzende Metrik hinzufügen - eigentlich mehr , wir sollten diese komplementären Metri- <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD
en-de	gold	13	</parallel_talk> Also, Sie erwähnten eine und das ist Fluchfilter m Bewertung.	< / parallel _ talk > Also , Sie erwähnten eine und das ist Fluchfilter m Bewertung . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK
en-de	gold	14	Also <parallel_talk> haben eine explizite Liste von Dingen, die nicht in der Ausgabe erscheinen dürfen, richtig?	Also < parallel _ talk > haben eine explizite Liste von Dingen , die nicht in der Ausgabe erscheinen dürfen , richtig ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	15	<parallel_talk> Und dann die Bewertung seltener Wörter.	< parallel _ talk > Und dann die Bewertung seltener Wörter . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	16	Und hier haben wir eine explizite Liste von Namen und Begriffen, die wir in der Ausgabe erscheinen möchten, nicht einfach durch (Ordner-) Rate </parallel_talk>, sondern durch etwas, das diese Dinge direkt berücksichtigt, richtig?	Und hier haben wir eine explizite Liste von Namen und Begriffen , die wir in der Ausgabe erscheinen möchten , nicht einfach durch ( Ordner- ) Rate < / parallel _ talk > , sondern durch etwas , das diese Dinge direkt berücksichtigt , richtig ? <EOS>	OK BAD OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK BAD OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	17	Ja, also stimme ich vollkommen zu.	Ja , also stimme ich vollkommen zu . <EOS>	OK OK OK OK OK OK OK OK OK
en-de	gold	18	Dazu gehört auch die manuelle Erstellung der Referenz.	Dazu gehört auch die manuelle Erstellung der Referenz . <EOS>	OK OK OK OK OK OK OK OK OK OK
en-de	gold	19	Also, <parallel_talk> benötigen beide manuell erstellte Referenzen.	Also , < parallel _ talk > benötigen beide manuell erstellte Referenzen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	20	Ich habe eine Bemerkung von [PERSON1].	Ich habe eine Bemerkung von [ PERSON1 ] . <EOS>	BAD OK OK OK OK OK OK OK OK OK
en-de	gold	21	Also hat <parallel_talk> [PERSON1] ein Übersetzungswörterbuch zusammengestellt.	Also hat < parallel _ talk > [ PERSON1 ] ein Übersetzungswörterbuch zusammengestellt . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	22	Und sie sollte es bald teilen.	Und sie sollte es bald teilen . <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	23	</parallel_talk> Also, das könnte ein leerer Teil der zweiten Sache des seltenen Wortes werden - Also <paralell_Talk> das wäre die seltene Wortbewertung für MT und dann von [PROJEC210] werden wir wahrscheinlich auch ein Wörterbuch bekommen.	< / parallel _ talk > Also , das könnte ein leerer Teil der zweiten Sache des seltenen Wortes werden - Also < paralell _ Talk > das wäre die seltene Wortbewertung für MT und dann von [ PROJEC210 ] werden wir wahrscheinlich auch ein Wörterbuch bekommen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	24	</parallel_talk> Das wäre also offensichtlich die [PROJEC210]-Domain.	< / parallel _ talk > Das wäre also offensichtlich die [ PROJEC210 ] -Domain . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK
en-de	gold	25	Und [PERSON2], könnte ich Sie bitten, die <unintelligible/>-Domäne zu überarbeiten und ein solches Wörterbuch zu erstellen, indem Sie sich die Ausgänge ansehen und was in den Ausgängen fehlt.	Und [ PERSON2 ] , könnte ich Sie bitten , die < unintelligible / > -Domäne zu überarbeiten und ein solches Wörterbuch zu erstellen , indem Sie sich die Ausgänge ansehen und was in den Ausgängen fehlt . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	26	Also, wie Shortlisting - die Auflistung der Wörter, die wir mögen, und wir lieben nicht in der <unintelligible/> Domäne.	Also , wie Shortlisting - die Auflistung der Wörter , die wir mögen , und wir lieben nicht in der < unintelligible / > Domäne . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK OK
en-de	gold	27	Könntest du das tun?	Könntest du das tun ? <EOS>	BAD BAD OK OK OK OK
en-de	gold	28	Okay, das ist gut, ja.	Okay , das ist gut , ja . <EOS>	BAD OK OK OK OK OK OK OK OK
en-de	gold	29	Also habe ich angefangen, aber ich glaube, ich habe nie eine E-Mail an Sie beendet, weil Sie mich daran erinnert haben, dass Ihr Schimpffilter noch nicht integriert ist.	Also habe ich angefangen , aber ich glaube , ich habe nie eine E-Mail an Sie beendet , weil Sie mich daran erinnert haben , dass Ihr Schimpffilter noch nicht integriert ist . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	30	Und ich denke, das ist auch eine wichtige Botschaft für [PERSON5], der wieder aus dem Anruf verschwunden ist.	Und ich denke , das ist auch eine wichtige Botschaft für [ PERSON5 ] , der wieder aus dem Anruf verschwunden ist . <EOS>	OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	31	Die wichtige Botschaft ist also, ja, es ist sehr gut, dass Sie aktiv drängen, damit Ihre Ergebnisse integriert werden, und jeder sollte das tun.	Die wichtige Botschaft ist also , ja , es ist sehr gut , dass Sie aktiv drängen , damit Ihre Ergebnisse integriert werden , und jeder sollte das tun . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	32	Und gleichzeitig müssen wir das Setup haben, damit Sie es tatsächlich selbst integrieren und testen können.	Und gleichzeitig müssen wir das Setup haben , damit Sie es tatsächlich selbst integrieren und testen können . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
