index	original	translation	scores	mean	z_scores	z_mean
0	“But this seems to have been a ploy because the same group informed police about his return,” claimed an intelligence operative.	પરંતુ આ એક કાવતરું હોવાનું જણાય છે, કારણ કે તે જ જૂથે તેના પરત ફરવાની જાણ પોલીસને કરી હતી.	[50, 65, 100]	71.66666666666667	[-1.8947491098218585, -0.9543610832623659, 0.6070119356946091]	-0.7473660857965386
1	Fortunately, no one sustained injuries in these incidents.	સદનસીબે આ ઘટનાઓમાં કોઈ જાનહાનિ થઈ નથી.	[50, 50, 100]	66.66666666666667	[-1.8947491098218585, -1.7304146262830702, 0.6070119356946091]	-1.0060506001367733
2	“However, we are not complacent.	જોકે, અમે સંતુષ્ટ નથી.	[90, 100, 100]	96.66666666666667	[0.5819083638496467, 0.8564305171192773, 0.6070119356946091]	0.6817836055545111
3	The RJD, JD(U) and the Congress had contested the 2015 assembly elections together.	આરજેડી, જેડીયુ અને કોંગ્રેસે 2015ની વિધાનસભાની ચૂંટણી સાથે મળીને લડી હતી.	[90, 90, 100]	93.33333333333333	[0.5819083638496467, 0.3390614884388078, 0.6070119356946091]	0.5093272626610212
4	We can’t allow them to move out.	અમે તેમને બહાર નીકળવાની મંજૂરી આપી શકતા નથી.	[90, 100, 80]	90.0	[0.5819083638496467, 0.8564305171192773, -0.35502656543456174]	0.36110410517812075
5	I believe that Gujarat has perhaps the largest equestrian force with a single state police not only in India but perhaps in the world.	હું માનું છું કે ગુજરાત કદાચ ભારતમાં જ નહીં પરંતુ કદાચ વિશ્વમાં એક જ રાજ્ય પોલીસ સાથે સૌથી વધુ અશ્વારોહી દળ ધરાવતું રાજ્ય છે.	[90, 90, 100]	93.33333333333333	[0.5819083638496467, 0.3390614884388078, 0.6070119356946091]	0.5093272626610212
6	She has three children, two of whom are married.	તેમને ત્રણ બાળકો છે, જેમાંથી બે પરિણીત છે.	[80, 80, 100]	86.66666666666667	[-0.037256004568229584, -0.1783075402416617, 0.6070119356946091]	0.1304827969615726
7	The documents are forged to hide identity of the third child.	આ દસ્તાવેજો ત્રીજા બાળકની ઓળખ છુપાવવા માટે બનાવટી છે.	[70, 80, 100]	83.33333333333333	[-0.6564203729861059, -0.1783075402416617, 0.6070119356946091]	-0.07590532584438618
8	“These are all rumours.	આ બધી અફવાઓ છે.	[95, 100, 100]	98.33333333333333	[0.891490548058585, 0.8564305171192773, 0.6070119356946091]	0.7849776669574905
9	Besides, the CBDT will soon come out with over two dozen FAQs based on the queries it has received from various stakeholders, including chartered accountants and industry chambers.	આ ઉપરાંત CBDT ટૂંક સમયમાં ચાર્ટર્ડ એકાઉન્ટન્ટ્સ અને ઇન્ડસ્ટ્રી ચેમ્બર્સ સહિત વિવિધ હિતધારકો પાસેથી મળેલા પ્રશ્રોના આધારે બે ડઝનથી વધુ FAQ રજૂ કરશે.	[90, 100, 100]	96.66666666666667	[0.5819083638496467, 0.8564305171192773, 0.6070119356946091]	0.6817836055545111
10	The shooting happened on the road just outside the market in South City-2 at 3.30pm when weekend shoppers were present in large numbers and traffic was heavy.	બપોરે 3.30 વાગે સાઉથ સિટી-2ના માર્કેટની બહારના રસ્તા પર શૂટિંગ થયું હતું, ત્યારે સપ્તાહના અંતે મોટી સંખ્યામાં ખરીદદારો હાજર હતા અને ટ્રાફિક ભારે હતો.	[90, 100, 100]	96.66666666666667	[0.5819083638496467, 0.8564305171192773, 0.6070119356946091]	0.6817836055545111
11	About 1.5 lakh pilgrims from India perform Haj every year.	દર વર્ષે ભારતમાંથી આશરે દોઢ લાખ યાત્રાળુઓ હજ યાત્રાએ જાય છે.	[80, 100, 100]	93.33333333333333	[-0.037256004568229584, 0.8564305171192773, 0.6070119356946091]	0.47539548274855226
12	” Another kite maker, Raju Patangwala, said the effects of the slowdown in the economy are affecting the kite industry as well.	અન્ય પતંગ ઉત્પાદક રાજુ પાટંગવાલાએ જણાવ્યું હતું કે, અર્થતંત્રમાં મંદીની અસર પતંગ ઉદ્યોગને પણ અસર કરી રહી છે.	[60, 90, 100]	83.33333333333333	[-1.2755847414039823, 0.3390614884388078, 0.6070119356946091]	-0.10983710575685512
13	Official sources said that the borders with Gujarat state have been sealed to prevent the workers residing in Vapi and working in the factories in Daman from entering into the territory for few days.	સત્તાવાર સૂત્રોએ જણાવ્યું હતું કે, ગુજરાત રાજ્ય સાથેની સરહદો સીલ કરી દેવામાં આવી છે જેથી વાપીમાં રહેતા કામદારો અને દમણની ફેક્ટરીઓમાં કામ કરતા કામદારોને કેટલાક દિવસો સુધી આ વિસ્તારમાં પ્રવેશતા અટકાવી શકાય.	[100, 100, 100]	100.0	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699
14	However, agriculture minister Babu Bokhiria said that the rains were not more than 5mm and hence it would not cause large-scale damage to the crop.	જોકે, કૃષિ મંત્રી બાબુ બોખિરિયાએ જણાવ્યું હતું કે, 5 મીમીથી વધુ વરસાદ પડ્યો નથી અને તેથી પાકને મોટું નુકસાન નહીં થાય.	[100, 100, 100]	100.0	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699
15	NEW DELHI: BJP picked Union urban development and I&B minister M Venkaiah Naidu on Monday as its candidate for Vice-President of India .	નવી દિલ્હીઃભારતીય જનતા પાર્ટીએ સોમવારે કેન્દ્રીય શહેરી વિકાસ મંત્રી અને માહિતી અને પ્રસારણ મંત્રી એમ. વેંકૈયા નાયડુને ભારતના ઉપરાષ્ટ્રપતિ પદના ઉમેદવાર તરીકે પસંદ કર્યા છે.	[90, 100, 100]	96.66666666666667	[0.5819083638496467, 0.8564305171192773, 0.6070119356946091]	0.6817836055545111
16	We will investigate the matter.	અમે આ મામલે તપાસ કરીશું.	[100, 100, 100]	100.0	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699
17	Shaktisinh Gohil of Congress is next with 19%.	કોંગ્રેસના શક્તિસિંહ ગોહિલ 19% સાથે બીજા સ્થાને છે.	[100, 100, 100]	100.0	[1.2010727322675232, 0.8564305171192773, 0.6070119356946091]	0.8881717283604699
18	“In most cities, people took a pledge to reduce plastic usage and said they are willing to make a change in their lifestyle,” she said.	મોટાભાગના શહેરોમાં લોકોએ પ્લાસ્ટિકનો ઉપયોગ ઘટાડવાનો સંકલ્પ લીધો છે અને કહ્યું છે કે, તેઓ પોતાની જીવનશૈલીમાં પરિવર્તન લાવવા માટે તૈયાર છે.	[70, 65, 90]	75.0	[-0.6564203729861059, -0.9543610832623659, 0.12599268513002365]	-0.494929590372816
19	However, statistics show that it can be a distant dream in cities like Ahmedabad where the vehicle to road capacity ratio is much higher — the current vehicle population is three times more,” said Avashia.	જોકે, આંકડાઓ દર્શાવે છે કે અમદાવાદ જેવા શહેરોમાં આ એક દૂરનું સ્વપ્ન હોઈ શકે છે, જ્યાં રોડ કેપેસિટી રેશિયો ઘણો ઊંચો છે-વર્તમાન વાહનોની વસ્તી ત્રણ ગણી છે.	[40, 50, 50]	46.666666666666664	[-2.513913478239735, -1.7304146262830702, -1.7980843171283178]	-2.0141374738837077
20	it can seriously affect the health of school children.	જે શાળાના બાળકોના સ્વાસ્થ્ય પર ગંભીર અસર કરી શકે છે.	[70, 100, 90]	86.66666666666667	[-0.6564203729861059, 0.8564305171192773, 0.12599268513002365]	0.10866760975439836
21	“We are looking into it,” he added.	અમે તેની તપાસ કરી રહ્યા છીએ, એમ તેમણે ઉમેર્યું હતું.	[90, 100, 100]	96.66666666666667	[0.5819083638496467, 0.8564305171192773, 0.6070119356946091]	0.6817836055545111
22	After preliminary investigation, police found out that the victim was stabbed to death.	પોલીસની પ્રાથમિક તપાસમાં મૃતકની ગળું દબાવીને હત્યા કરવામાં આવી હોવાનું બહાર આવ્યું છે.	[50, 100, 100]	83.33333333333333	[-1.8947491098218585, 0.8564305171192773, 0.6070119356946091]	-0.143768885669324
23	In the past too, the accused had tried to claim ownership over the temple and the issue reached the court.	અગાઉ પણ આરોપીઓએ મંદિર પર માલિકીનો દાવો કરવાનો પ્રયાસ કર્યો હતો અને આ મુદ્દો અદાલત સુધી પહોંચ્યો હતો.	[90, 100, 100]	96.66666666666667	[0.5819083638496467, 0.8564305171192773, 0.6070119356946091]	0.6817836055545111
24	Upon seeing the team, a man rushed forward, identifying himself as the caller, Amarsinh Gamit, (name changed).	ટીમને જોઈને એક વ્યક્તિ આગળ વધી અને પોતાની જાતને અમરસિંહ ગામિત (નામ બદલ્યું છે) તરીકે ઓળખાવી.	[50, 90, 100]	80.0	[-1.8947491098218585, 0.3390614884388078, 0.6070119356946091]	-0.3162252285628138
25	This is growing rapidly.	આ ઝડપથી વધી રહ્યું છે.	[90, 100, 100]	96.66666666666667	[0.5819083638496467, 0.8564305171192773, 0.6070119356946091]	0.6817836055545111
26	A complaint in this regard was lodged at Mahila (west) police station.	આ અંગે મહુવા પોલીસ મથકે ફરિયાદ નોંધાઇ હતી.	[60, 80, 30]	56.666666666666664	[-1.2755847414039823, -0.1783075402416617, -2.760122818257489]	-1.404671699967711
