index	original	translation	scores	mean	z_scores	z_mean
0	[citation needed] Four leaf phases are recognised in the development of a eucalyptus plant: the ‘seedling’, ‘juvenile’, ‘intermediate’, and ‘adult’ phases.	एक यूकेलिप्टस पौधे के विकास में चार पत्ती चरण पहचाने जाते हैंः 'अंकुर', 'किशोर', 'मध्यवर्ती' और 'वयस्क' चरण।	[75, 75, 77, 82]	77.25	[-1.115305097972482, -1.0486684179242434, 0.426641517430839, 0.7106771142112794]	-0.25666372106365165
1	This rule is so strictly enforced that, even where the conflict of interest or conflict of duty is purely hypothetical, the directors can be forced to disgorge all personal gains arising from it.	यह नियम इतनी सख्ती से लागू किया गया है कि जहां हितों का टकराव या कर्तव्य का टकराव विशुद्ध रूप से काल्पनिक है, वहां निदेशकों को इससे उत्पन्न सभी व्यक्तिगत लाभों को छोड़ने के लिए मजबूर किया जा सकता है।	[90, 90, 65, 65]	77.5	[0.12609030444560904, 0.2069211629237486, -0.8147553949731403, -0.8833099294999376]	-0.3412634642759301
2	At the urging of the International Monetary Fund (IMF), the government cut government spending and raised interest rates, which only served to exacerbate the economic situation.	अंतर्राष्ट्रीय मुद्रा कोष (आईएमएफ) के आग्रह पर, सरकार ने सरकारी खर्च में कटौती की और ब्याज दरों में वृद्धि की, जिससे केवल आर्थिक स्थिति को बढ़ावा मिला।	[95, 95, 89, 80]	89.75	[0.539888771918306, 0.6254510232064127, 1.6680384298348183, 0.5231492267158422]	0.8391318629188448
3	He quit the movement and turned to Sufism.	उन्होंने आंदोलन छोड़ दिया और सूफीवाद की ओर मुड़ गए।	[100, 95, 79, 82]	89.0	[0.953687239391003, 0.6254510232064127, 0.6335410028315023, 0.7106771142112794]	0.7308390949100494
4	He immediately sent a message to the Thakur of Asota.	उन्होंने तुरंत असोटा के ठाकुर को एक संदेश भेजा।	[100, 95, 76, 70]	85.25	[0.953687239391003, 0.6254510232064127, 0.3231917747305074, -0.4144902107613443]	0.3719599566416447
5	Most Islamic jurists hold there is another type of riba, which is the simultaneous exchange of unequal quantities or qualities of a given commodity.	अधिकांश इस्लामी न्यायविदों का मानना है कि रिबा का एक अन्य प्रकार है, जो किसी भी वस्तु की असमान मात्रा या गुणों का एक साथ आदान-प्रदान है।	[95, 95, 68, 85]	85.75	[0.539888771918306, 0.6254510232064127, -0.5044061668721455, 0.9919689454544354]	0.41322564342675216
6	He established the RSS network in the Kashmir Valley.	उन्होंने कश्मीर घाटी में आरएसएस का नेटवर्क स्थापित किया।	[90, 95, 89, 80]	88.5	[0.12609030444560904, 0.6254510232064127, 1.6680384298348183, 0.5231492267158422]	0.7356822460506706
7	"In his attempts to catch Jerry, Tom often has to deal with Spike (known as ""Killer"" and ""Butch"" in some shorts), an angry, vicious but easily duped bulldog who tries to attack Tom for bothering him or his son Tyke while trying to get Jerry."	जेरी को पकड़ने के अपने प्रयासों में, टॉम को अक्सर स्पाइक (कुछ शॉर्ट्स में 'किलर' और 'बुच' के रूप में जाना जाता है) से निपटना पड़ता है, जो एक गुस्सैल, शातिर लेकिन आसानी से ठगा हुआ बुलडॉग है जो जेरी को पाने की कोशिश करते समय टॉम को परेशान करने के लिए उस पर हमला करने की कोशिश करता है।	[70, 70, 78, 75]	73.25	[-1.529103565445179, -1.4671982782069075, 0.5300912601311706, 0.05432950797724894]	-0.6029702688859169
8	He swears to kill Sikandar.	वह सिकन्दर को मारने की कसम खाता है।	[95, 95, 70, 84]	86.0	[0.539888771918306, 0.6254510232064127, -0.29750668147148224, 0.8982050017067168]	0.4415095288399883
9	Jaldapara National Park (Pron: ˌʤʌldəˈpɑ:rə) (Official Website - www.jaldaparanationalpark.org) is a national park situated at the foothills of the Eastern Himalayas in Alipurduar District of northern West Bengal and on the banks of the Torsa River.	जलदापारा राष्ट्रीय उद्यान (Pron: indialear villedsimilar park) (आधिकारिक वेबसाइट-www. jaldaparanationalpark. org) उत्तरी पश्चिम बंगाल के अलीपुरद्वार जिले में पूर्वी हिमालय की तलहटी में और तोरसा नदी के तट पर स्थित एक राष्ट्रीय उद्यान है।	[85, 80, 59, 59]	70.75	[-0.28770816302708796, -0.6301385576415794, -1.4354538511751298, -1.4458935919862494]	-0.9497985409575116
