index	original	translation	scores	mean	z_scores	z_mean
0	A humanist to the core, Gopi exudes nativity and national outlook in his poetry.	ஒரு மனிதாபிமான கோபி, தனது கவிதைகளில் பிறப்பு மற்றும் தேசிய கண்ணோட்டத்தை வெளிப்படுத்துகிறார்.	[50,95,76]	73.66666666666667	[-2.0539813154348314, 0.6184291206010091, -0.6385191463517237]	-0.6913571137285154
1	It is bounded by Namakkal district in the north, Dindigul district in the south, Tiruchirapalli district on the east and Erode & Tiruppur districts on the west.	இதன் வடக்கில் நாமக்கல் மாவட்டமும், தெற்கில் திண்டுக்கல் மாவட்டமும், கிழக்கில் திருச்சிராப்பள்ளி மாவட்டமும், மேற்கில் ஈரோடு மற்றும் திருப்பூர் மாவட்டங்களும் உள்ளன.	[98,95,94]	95.66666666666667	[0.7524376846469182, 0.6184291206010091, 0.506839287090999]	0.6259020307796421
2	This increases the reliability of the results, often through a comparison between control measurements and the other measurements.	இது பெரும்பாலும் கட்டுப்பாட்டு அளவீடுகளுக்கும் பிற அளவீடுகளுக்கும் இடையிலான ஒப்பீடு மூலம் முடிவுகளின் நம்பகத்தன்மையை அதிகரிக்கிறது.	[98,95,99]	97.33333333333333	[0.7524376846469182, 0.6184291206010091, 0.8249944074917553]	0.7319537375798942
3	The geography of Mesopotamia had a profound impact on the political development of the region.	மெசொப்பொத்தேமியாவின் புவியியல் இப்பகுதியின் அரசியல் வளர்ச்சியில் ஆழ்ந்த தாக்கத்தை ஏற்படுத்தியது.	[98,95,95]	96.0	[0.7524376846469182, 0.6184291206010091, 0.5704703111711503]	0.6471123721396926
4	Thus the elite national schools are controlled directly by the ministry of education and the provincial schools by the provincial government.	எனவே உயர்மட்ட தேசிய பள்ளிகள் கல்வி அமைச்சகத்தாலும், மாகாண பள்ளிகள் மாகாண அரசாங்கத்தாலும் நேரடியாக கட்டுப்படுத்தப்படுகின்றன.	[92,95,96]	94.33333333333333	[0.40163530963669947, 0.6184291206010091, 0.6341013352513015]	0.5513885884963368
5	His adviser explains that this had come about as a result of talking too much.	அளவுக்கு அதிகமாக பேசுவதன் விளைவாக இது நிகழ்ந்ததாக அவரது ஆலோசகர் விளக்குகிறார்.	[98,80,91]	89.66666666666667	[0.7524376846469182, -0.20228697726433362, 0.31594621485054525]	0.28869897407770995
6	The Liquid Propulsion Systems Centre (LPSC) is a research and development centre functioning under Indian Space Research Organisation.	திரவ உந்துவிசை அமைப்பு மையம் (Liquid Propulsion Systems Centre-LPSC) என்பது இந்திய விண்வெளி ஆராய்ச்சி நிறுவனத்தின் கீழ் செயல்படும் ஒரு ஆராய்ச்சி மற்றும் மேம்பாட்டு மையமாகும்.	[98,95,98]	97.0	[0.7524376846469182, 0.6184291206010091, 0.761363383411604]	0.7107433962198438
7	Kuching (/ˈkuːtʃɪŋ/), officially the City of Kuching, is the capital and the most populous city in the state of Sarawak in Malaysia.	குச்சிங் (Kuching) மலேசியாவின் சரவாக் மாநிலத்தின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.	[30,80,43]	51.0	[-3.223322565468894, -0.20228697726433362, -2.738342940996715]	-2.0546508279099807
8	Their aim is to enhance quality of life through collaborative research and action.	கூட்டு ஆராய்ச்சி மற்றும் செயல்பாடுகள் மூலம் வாழ்க்கைத் தரத்தை உயர்த்துவதே அவர்களின் நோக்கமாகும்.	[98,98,95]	97.0	[0.7524376846469182, 0.7825723401740775, 0.5704703111711503]	0.7018267786640487
9	Smith secured a contract to replace supermodel Claudia Schiffer in a Guess jeans ad campaign featuring a series of sultry black-and-white photographs.	கேஸ் ஜீன்ஸ் விளம்பரத்தில் சூப்பர் மாடல் கிளாடியா ஷிஃபரை மாற்றியமைப்பதற்கான ஒப்பந்தத்தை ஸ்மித் பெற்றார்.	[30,50,42]	40.666666666666664	[-3.223322565468894, -1.8437191729950189, -2.8019739650768662]	-2.623005234513593
10	They massacred the residents of Kannanur.	அவர்கள் கண்ணனூர் குடியிருப்பாளர்களை படுகொலை செய்தனர்.	[98,95,95]	96.0	[0.7524376846469182, 0.6184291206010091, 0.5704703111711503]	0.6471123721396926
11	In capitalist economics, market competition is the rivalry among sellers trying to achieve such goals as increasing profits, market share and sales volume by varying the elements of the marketing mix: price, product, distribution and promotion.	முதலாளித்துவ பொருளாதாரத்தில், சந்தை போட்டி என்பது லாபத்தை அதிகரித்தல், சந்தை பங்கு மற்றும் சந்தை அளவை அதிகரித்தல் போன்ற இலக்குகளை அடைய முயற்சிக்கும் விற்பனையாளர்களுக்கு இடையிலான போட்டி ஆகும்.	[94,50,69]	71.0	[0.5185694346401057, -1.8437191729950189, -1.0839363149127825]	-0.8030286844225651
12	Both plants have a combined annual capacity of 600,000 units.	இந்த இரு ஆலைகளும் இணைந்து ஆண்டுக்கு 600,000 யூனிட்களை உற்பத்தி செய்யும் திறன் கொண்டவை.	[98,99,100]	99.0	[0.7524376846469182, 0.8372867466984337, 0.8886254315719065]	0.8261166209724194
13	The Swiss Romantic artist Henry Fuseli, a friend of William Blake, even translated Macbeth into German.	வில்லியம் பிளேக்கின் நண்பரும், சுவிட்சர்லாந்தின் ரொமான்டிக் கலைஞருமான ஹென்றி ஃபுசெலி, மக்பெத்தை ஜெர்மன் மொழியிலும் மொழிபெயர்த்தார்.	[96,95,98]	96.33333333333333	[0.6355035596435119, 0.6184291206010091, 0.761363383411604]	0.6717653545520417
14	Later, as the Dutch Republic rose to considerable power and wealth, smoking became more common amongst the affluent and portraits of elegant gentlemen tastefully raising a pipe appeared.	பின்னர், டச்சு குடியரசு கணிசமான அதிகாரத்தையும் செல்வத்தையும் பெற்றபோது, புகைபிடித்தல் செல்வந்தர்களிடையே மிகவும் பொதுவானதாக மாறியது.	[30,30,33]	31.0	[-3.223322565468894, -2.9380073034821423, -3.374653181798228]	-3.1786610169164216
15	The institution has networked with Delhi University for courses in Physiotherapy, with Roehampton University for teachers' training in special education and also with Manipal University, Madhya Pradesh Bhoj Open University and Indira Gandhi National Open University.	இந்த நிறுவனம் தில்லி பல்கலைக்கழகம், சிறப்பு கல்வியில் ஆசிரியர்களின் பயிற்சிக்காக ரோஹாம்ப்டன் பல்கலைக்கழகம், மணிப்பால் பல்கலைக்கழகம், மத்தியப் பிரதேசம் போஜ் திறந்தநிலை பல்கலைக்கழகம் மற்றும் இந்திரா காந்தி தேசிய திறந்தநிலை பல்கலைக்கழகம் ஆகியவற்றுடன் இணைந்துள்ளது.	[98,98,99]	98.33333333333333	[0.7524376846469182, 0.7825723401740775, 0.8249944074917553]	0.7866681441042503
16	Pura Besakih is a complex made up of twenty-three temples that sit on parallel ridges.	புரா பெசாகி என்பது இருபத்தி மூன்று கோயில்களைக் கொண்ட ஒரு வளாகமாகும்.	[40,95,53]	62.666666666666664	[-2.638651940451863, 0.6184291206010091, -2.1020327001952026]	-1.3740851733486856
17	The accomplices were Shankar's brother, Mohan, Selva (alias Selvaraj) and the jail wardens Kannan, Balan and Rahim Khan.	சங்கரின் சகோதரர் மோகன், செல்வா (செல்வராஜ்), சிறைக் காவலர்கள் கண்ணன், பாலன், ரஹீம் கான் ஆகியோர் உடந்தையாக இருந்தனர்.	[92,95,91]	92.66666666666667	[0.40163530963669947, 0.6184291206010091, 0.31594621485054525]	0.4453368816960846
18	For example, the mobbing behavior of many species, in which a large number of prey animals attack a larger predator, seems to be an example of spontaneous emergent organization.	உதாரணமாக, பல உயிரினங்களின் கும்பல் நடத்தை, இதில் அதிக எண்ணிக்கையிலான இரை விலங்குகள் ஒரு பெரிய வேட்டையாடுபவரை தாக்குகின்றன, இது தன்னிச்சையாக உருவாகும் அமைப்புக்கு ஒரு எடுத்துக்காட்டாகத் தோன்றுகிறது.	[70,95,86]	83.66666666666667	[-0.8846400654007692, 0.6184291206010091, -0.0022089055502110488]	-0.08947328344999039
19	It is in seventh place on the all-time list of highest-grossing Telugu films at the global box office.	உலகளாவிய பாக்ஸ் ஆபிஸில் அதிக வசூல் செய்த தெலுங்கு திரைப்படங்களின் பட்டியலில் ஏழாவது இடத்தில் உள்ளது.	[90,95,95]	93.33333333333333	[0.2847011846332932, 0.6184291206010091, 0.5704703111711503]	0.49120020546848425
20	The river then runs through Anhui and Jiangsu, receiving more water from innumerable smaller lakes and rivers, and finally reaches the East China Sea at Shanghai.	பின்னர் இந்த நதி அன்ஹுய் மற்றும் ஜியாங்சு வழியாக பாய்கிறது, எண்ணற்ற சிறிய ஏரிகள் மற்றும் ஆறுகளிலிருந்து அதிக தண்ணீரைப் பெற்று, இறுதியாக ஷாங்காய் கிழக்கு சீன கடலை அடைகிறது.	[98,80,86]	88.0	[0.7524376846469182, -0.20228697726433362, -0.0022089055502110488]	0.18264726727745784
21	"The name can be translated as ""Palace of Akbar""."	"""இந்த பெயரை"" ""அக்பரின் அரண்மனை"" ""என்று மொழிபெயர்க்கலாம்."""	[98,98,99]	98.33333333333333	[0.7524376846469182, 0.7825723401740775, 0.8249944074917553]	0.7866681441042503
22	He received two awards from Kerala Sahitya Akademi and another from Kendra Sahitya Akademi, besides honours such as Government of Madras Poetry Prize, Odakkuzhal Award, N. V. Puraskaram, Asan Smaraka Kavitha Puraskaram and Ulloor Award.	கேரள சாகித்ய அகாடமியிடமிருந்து இரண்டு விருதுகளையும், கேந்திர சாகித்ய அகாடமியிடமிருந்து மற்றொன்றையும் பெற்றதோடு, மெட்ராஸ் அரசு கவிதை பரிசு, ஓடக்குழல் விருது, என். வி. புரஷ்காரம், ஆசன் ஸமாரக கவிதா புரஸ்காரம் மற்றும் உள்ளூர் விருது போன்ற விருதுகளையும் பெற்றார்.	[98,95,95]	96.0	[0.7524376846469182, 0.6184291206010091, 0.5704703111711503]	0.6471123721396926
23	It is a mix of traditional beliefs regarding spirits with Buddhism.	இது புத்த மதத்துடன் ஆவிகள் தொடர்பான பாரம்பரிய நம்பிக்கைகளின் கலவையாகும்.	[90,90,91]	90.33333333333333	[0.2847011846332932, 0.34485708797922815, 0.31594621485054525]	0.3151681624876888
24	The flowers are used in Southeast Asia for several purposes.	இந்த மலர்கள் தென்கிழக்கு ஆசியாவில் பல நோக்கங்களுக்காக பயன்படுத்தப்படுகின்றன.	[98,98,95]	97.0	[0.7524376846469182, 0.7825723401740775, 0.5704703111711503]	0.7018267786640487
25	Also in both cases, consumer data was stolen.	இந்த இரண்டு சம்பவங்களிலும் நுகர்வோர் தகவல்கள் திருடப்பட்டன.	[90,95,96]	93.66666666666667	[0.2847011846332932, 0.6184291206010091, 0.6341013352513015]	0.5124105468285346
26	The campus is spread over 60 acres.	இந்த வளாகம் 60 ஏக்கர் பரப்பளவில் அமைந்துள்ளது.	[98,98,95]	97.0	[0.7524376846469182, 0.7825723401740775, 0.5704703111711503]	0.7018267786640487
27	The Board suggests changes to laws and rules about animal welfare issues.	விலங்குகள் நல பிரச்சினைகள் குறித்த சட்டங்கள் மற்றும் விதிகளில் மாற்றங்களை வாரியம் பரிந்துரைக்கிறது.	[98,95,94]	95.66666666666667	[0.7524376846469182, 0.6184291206010091, 0.506839287090999]	0.6259020307796421
28	Sri Lanka has had other hunter-gatherering peoples such as the Rodiya and Kinnaraya.	இலங்கையில் ரோடியா மற்றும் கின்னராயா போன்ற வேட்டையாடும் மக்கள் உள்ளனர்.	[94,95,97]	95.33333333333333	[0.5185694346401057, 0.6184291206010091, 0.6977323593314528]	0.6115769715241892
29	As noted in Scorsese on Scorsese by editor–interviewer Ian Christie, the news that Scorsese wanted to make a film about a failed 19th-century romance raised many eyebrows among the film fraternity; all the more when Scorsese made it clear that it was a personal project and not a studio for-hire job.	ஸ்கோர்செஸி ஆன் ஸ்கோர்செஸி இதழின் ஆசிரியர்-நேர்காணல் இயன் கிறிஸ்டி குறிப்பிட்டபடி, ஸ்கோர்செஸி 19 ஆம் நூற்றாண்டின் தோல்வியுற்ற காதல் பற்றிய ஒரு திரைப்படத்தை உருவாக்க விரும்பினார் என்ற செய்தி திரைப்படத் துறையினரிடையே பல புருவங்களை உயர்த்தியது.	[30,50,41]	40.333333333333336	[-3.223322565468894, -1.8437191729950189, -2.865604989157018]	-2.6442155758736434
30	Later in his career he developed his own distinct style.	பின்னர் தனது தொழில் வாழ்க்கையில் அவர் தனது தனித்துவமான பாணியை உருவாக்கினார்.	[98,98,100]	98.66666666666667	[0.7524376846469182, 0.7825723401740775, 0.8886254315719065]	0.8078784854643007
31	His first venture of kayal cultivation was the reclamation of Cherukara Kayal.	காயல் சாகுபடியில் இவர் மேற்கொண்ட முதல் முயற்சி செருகர கயலை மீட்டெடுப்பதாகும்.	[98,70,86]	84.66666666666667	[0.7524376846469182, -0.7494310425078954, -0.0022089055502110488]	0.0002659121962705828
32	However, none were killed in the incident.	எனினும் இந்த சம்பவத்தில் யாரும் உயிரிழக்கவில்லை.	[98,95,99]	97.33333333333333	[0.7524376846469182, 0.6184291206010091, 0.8249944074917553]	0.7319537375798942
33	Shevkal and his remaining guards were burnt alive.	செவ்கல் மற்றும் அவரது எஞ்சியிருந்த காவலர்கள் உயிருடன் எரிக்கப்பட்டனர்.	[98,95,100]	97.66666666666667	[0.7524376846469182, 0.6184291206010091, 0.8886254315719065]	0.7531640789399446
34	The Government of India honoured him with the Padma Shri.	இந்திய அரசு அவருக்கு பத்மஸ்ரீ விருது வழங்கி கவுரவித்தது.	[98,95,94]	95.66666666666667	[0.7524376846469182, 0.6184291206010091, 0.506839287090999]	0.6259020307796421
35	Currently, Queensland has completely smoke-free indoor public places (including workplaces, bars, pubs and eateries) as well as patrolled beaches and some outdoor public areas.	தற்போது, குயின்ஸ்லாந்து முழுவதும் புகைபிடிக்காத பொது இடங்கள் (பணியிடங்கள், பப்கள் மற்றும் உணவகங்கள் உட்பட) மற்றும் ரோந்து கடற்கரைகள் மற்றும் சில வெளிப்புற பொது இடங்களை கொண்டுள்ளது.	[92,95,95]	94.0	[0.40163530963669947, 0.6184291206010091, 0.5704703111711503]	0.5301782471362864
36	B vitamins are found in highest abundance in meat, eggs, and dairy products.	இறைச்சி, முட்டை, பால் பொருட்கள் ஆகியவற்றில் வைட்டமின் பி அதிக அளவில் காணப்படுகிறது.	[98,95,94]	95.66666666666667	[0.7524376846469182, 0.6184291206010091, 0.506839287090999]	0.6259020307796421
37	At first meet, they fall in love with each others; and Indra disagreed to get back.	முதல் சந்திப்பில், அவர்கள் ஒருவருக்கொருவர் காதலிக்கிறார்கள்.	[25,50,40]	38.333333333333336	[-3.5156578779774095, -1.8437191729950189, -2.929236013237169]	-2.7628710214031993
