Facebook-AI	talk.1	1	rater1	Ich möchte Sie alle bitten, für eine Sekunde die sehr einfache Tatsache in Betracht zu ziehen, dass bei weitem das meiste, was wir über das Universum wissen, aus dem Licht kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	72	93	minor
HuaweiTSC	talk.1	1	rater3	Ich möchte euch alle bitten, für eine Sekunde die sehr einfache Tatsache zu bedenken, dass bei weitem das meiste, was wir über das Universum wissen, vom Licht zu uns kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	11	18	major
Nemo	talk.1	1	rater4	Ich möchte Sie alle bitten, für eine Sekunde die sehr einfache Tatsache zu bedenken, dass bei weitem das meiste, was wir über das Universum wissen, vom Licht zu uns kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	148	170	minor
Online-W	talk.1	1	rater4	Ich möchte Sie alle bitten, für eine Sekunde die sehr einfache Tatsache zu bedenken, dass das meiste, was wir über das Universum wissen, aus dem Licht zu uns kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	137	163	minor
UEdin	talk.1	1	rater4	Ich möchte euch alle bitten, für eine Sekunde die sehr einfache Tatsache in Betracht zu ziehen, dass bei weitem das meiste, was wir über das Universum wissen, aus dem Licht zu uns kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	159	188	major
VolcTrans-AT	talk.1	1	rater3	Ich möchte Sie alle bitten, für eine Sekunde die sehr einfache Tatsache zu bedenken, dass bei weitem das meiste, was wir über das Universum wissen, aus dem Licht zu uns kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	148	174	minor
VolcTrans-GLAT	talk.1	1	rater1	Ich möchte Sie alle bitten, für eine Sekunde die ganz einfache Tatsache zu bedenken, dass bei weitem das meiste, was wir über das Universum wissen, aus dem Licht kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	-1	-1	no-error
eTranslation	talk.1	1	rater3	Ich möchte euch alle bitten, für eine Sekunde die sehr einfache Tatsache in Betracht zu ziehen, dass bei weitem das meiste, was wir über das Universum wissen, aus dem Licht zu uns kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	159	188	major
metricsystem1	talk.1	1	rater2	Ich möchte Sie alle bitten, für eine Sekunde die ganz einfache Tatsache zu bedenken, dass bei weitem das meiste, was wir über das Universum wissen, aus dem Licht kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	-1	-1	no-error
metricsystem2	talk.1	1	rater4	Ich möchte Sie alle bitten, für eine Sekunde die sehr einfache Tatsache zu betrachten, dass bei weitem das meiste, was wir über das Universum wissen, aus dem Licht zu uns kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	150	176	minor
metricsystem3	talk.1	1	rater3	Ich möchte Sie alle bitten, für eine Sekunde die sehr einfache Tatsache zu berücksichtigen, dass das meiste, was wir über das Universum wissen, zu uns aus dem Licht kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	144	170	minor
metricsystem4	talk.1	1	rater3	Ich möchte Sie alle bitten, für eine Sekunde die sehr einfache Tatsache zu bedenken, dass bei weitem das meiste, was wir über das Universum wissen, aus dem Licht stammt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	-1	-1	no-error
metricsystem5	talk.1	1	rater1	Ich möchte Sie alle bitten, für eine Sekunde die sehr einfache Tatsache zu berücksichtigen, dass bei weitem das meiste, was wir über das Universum wissen, vom Licht zu uns kommt.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	165 49 75	171 62 90	minor minor minor
ref	talk.1	1	rater2	Bitte machen Sie sich alle für einen Moment eine ganz einfache Tatsache bewusst: So ziemlich alles, was wir über das Universum wissen, wissen wir durch Licht.	I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.	-1	-1	no-error
Facebook-AI	talk.1	2	rater1	Wir können auf der Erde stehen und in den Nachthimmel schauen und die Sterne mit unseren bloßen Augen sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
HuaweiTSC	talk.1	2	rater3	Wir können auf der Erde stehen und zum Nachthimmel aufschauen und Sterne mit unseren bloßen Augen sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
Nemo	talk.1	2	rater4	Wir können auf der Erde stehen und in den Nachthimmel schauen und Sterne mit bloßen Augen sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
Online-W	talk.1	2	rater4	Wir können auf der Erde stehen und in den Nachthimmel schauen und mit bloßen Augen Sterne sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
UEdin	talk.1	2	rater4	Wir können auf der Erde stehen und in den Nachthimmel schauen und Sterne mit bloßen Augen sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
VolcTrans-AT	talk.1	2	rater3	Wir können auf der Erde stehen und in den Nachthimmel schauen und mit bloßen Augen Sterne sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
VolcTrans-GLAT	talk.1	2	rater1	Wir können auf der Erde stehen und zum Nachthimmel aufblicken und mit bloßen Augen Sterne sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
eTranslation	talk.1	2	rater3	Wir können auf der Erde stehen und in den Nachthimmel schauen und Sterne mit bloßen Augen sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
metricsystem1	talk.1	2	rater2	Wir können auf der Erde stehen und zum Nachthimmel aufblicken und mit bloßen Augen Sterne sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
metricsystem2	talk.1	2	rater4	Wir können auf der Erde stehen und zum Nachthimmel aufblicken und mit bloßen Augen Sterne sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
metricsystem3	talk.1	2	rater3	Wir können auf der Erde stehen und zum Nachthimmel aufblicken und Sterne mit unseren bloßen Augen sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
metricsystem4	talk.1	2	rater3	Wir können auf der Erde stehen und in den Nachthimmel schauen und mit bloßen Augen Sterne sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
metricsystem5	talk.1	2	rater1	Wir können auf der Erde stehen und zum Nachthimmel hinaufschauen und Sterne mit unseren bloßen Augen sehen.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
ref	talk.1	2	rater2	Wir können auf der Erde stehen und in den Nachthimmel sehen und Sterne mit unseren bloßen Augen betrachten.	We can stand on the Earth and look up at the night sky and see stars with our bare eyes.	-1	-1	no-error
Facebook-AI	talk.1	3	rater1	Die Sonne verbrennt unsere periphere Sicht.	The Sun burns our peripheral vision.	-1	-1	no-error
HuaweiTSC	talk.1	3	rater3	Die Sonne verbrennt unsere periphere Sicht.	The Sun burns our peripheral vision.	-1	-1	no-error
Nemo	talk.1	3	rater4	Die Sonne verbrennt unser peripheres Sehen.	The Sun burns our peripheral vision.	0	45	major
Online-W	talk.1	3	rater4	Die Sonne verbrennt unser peripheres Sehvermögen.	The Sun burns our peripheral vision.	10	51	major
UEdin	talk.1	3	rater4	Die Sonne verbrennt unsere periphere Sicht.	The Sun burns our peripheral vision.	10	45	major
VolcTrans-AT	talk.1	3	rater3	Die Sonne verbrennt unsere periphere Sicht.	The Sun burns our peripheral vision.	-1	-1	no-error
VolcTrans-GLAT	talk.1	3	rater1	Die Sonne verbrennt unsere periphere Sicht.	The Sun burns our peripheral vision.	-1	-1	no-error
eTranslation	talk.1	3	rater3	Die Sonne verbrennt unsere periphere Sicht.	The Sun burns our peripheral vision.	-1	-1	no-error
metricsystem1	talk.1	3	rater2	Die Sonne verbrennt unsere periphere Sicht.	The Sun burns our peripheral vision.	-1	-1	no-error
metricsystem2	talk.1	3	rater4	Die Sonne verbrennt unsere periphere Sicht.	The Sun burns our peripheral vision.	10	46	major
metricsystem3	talk.1	3	rater3	Die Sonne verbrennt unser peripheres Sehen.	The Sun burns our peripheral vision.	-1	-1	no-error
metricsystem4	talk.1	3	rater3	Die Sonne verbrennt unsere periphere Sicht.	The Sun burns our peripheral vision.	-1	-1	no-error
metricsystem5	talk.1	3	rater1	Die Sonne verbrennt unser peripheres Sehen.	The Sun burns our peripheral vision.	37	42	minor
ref	talk.1	3	rater2	Die Sonne verbrennt unser peripheres Sehen.	The Sun burns our peripheral vision.	-1	-1	no-error
Facebook-AI	talk.1	4	rater1	Wir sehen Licht, das vom Mond reflektiert wird.	We see light reflected off the Moon.	-1	-1	no-error
HuaweiTSC	talk.1	4	rater3	Wir sehen Licht, das vom Mond reflektiert wird.	We see light reflected off the Moon.	-1	-1	no-error
