mt_system	doc_id	seg_id	annotator_id	source	target	start_ids	end_ids	errors
metricsystem1	tedtalk-1	1	rater1	I work on helping computers communicate about the world around us.	Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.	44 53	55 57	major major
metricsystem1	tedtalk-1	2	rater1	There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.	Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.	-1	-1	no-error
metricsystem1	tedtalk-1	3	rater1	Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.	В такой сцене современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.	-1	-1	no-error
metricsystem1	tedtalk-1	4	rater1	It can tell you that the woman is smiling.	Это может сказать вам, что женщина улыбается.	0	6	major
metricsystem1	tedtalk-1	5	rater1	It might even be able to tell you that the dog is incredibly cute.	Это может даже сказать вам, что собака невероятно милая.	0	6	major
metricsystem1	tedtalk-1	6	rater1	I work on this problem thinking about how humans understand and process the world.	Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.	-1	-1	no-error
metricsystem1	tedtalk-1	7	rater1	The thoughts, memories and stories that a scene like this might evoke for humans.	Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.	-1	-1	no-error
metricsystem1	tedtalk-1	8	rater1	All the interconnections of related situations.	Все взаимосвязи родственных ситуаций.	16	30	major
metricsystem1	tedtalk-1	9	rater1	Maybe you've seen a dog like this one before, or you've spent time running on a beach like this one, and that further evokes thoughts and memories of a past vacation, past times to the beach, times spent running around with other dogs.	Может быть, вы видели собаку, подобную этой, раньше, или вы бегали по пляжу, как эта, и это еще больше навевает мысли и воспоминания о прошлых отпусках, прошлых поездках на пляж, временах, проведенных бегать с другими собаками.	201	210	major
metricsystem1	tedtalk-1	10	rater1	One of my guiding principles is that by helping computers to understand what it's like to have these experiences, to understand what we share and believe and feel, then we're in a great position to start evolving computer technology in a way that's complementary with our own experiences.	Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, каково это иметь этот опыт, понять, что мы разделяем, во что верим и что чувствуем, мы можем начать развивать компьютерные технологии таким образом, чтобы это дополняло наш собственный опыт.	-1	-1	no-error
