mt_system	doc_id	seg_id	annotator_id	source	target	start_ids	end_ids	errors
metricsystem1	standard.co.uk.57834	1	rater1	Dominic Raab: Government can't make apologies for Spain quarantine decision	Доминик Рааб: Правительство не может извиняться за решение Испании о карантине	-1	-1	no-error
metricsystem1	standard.co.uk.57834	2	rater1	Dominic Raab has defended the Government's decision to re-introduce quarantine measures on Spain at short notice.	Доминик Рааб защитил решение правительства о повторном введении карантинных мер в Испании в кратчайшие сроки.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	3	rater1	Ministers announced on Saturday that holidaymakers who had not returned from Spain and its islands by midnight would be forced to self-isolate for 14 days.	В субботу министры объявили, что отдыхающие, не вернувшиеся из Испании и ее островов к полуночи, будут вынуждены самоизолироваться на 14 дней.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	4	rater1	"The country had been on a list of ""travel corridor"" nations deemed safe to visit by Downing Street, but a recent surge in coronavirus cases has sparked fears of a second wave of the disease."	Страна была в списке стран «путешествующего коридора», которые Даунинг-стрит считала безопасными для посещения, но недавний всплеск случаев коронавируса вызвал опасения по поводу второй волны заболевания.	27	46	major
metricsystem1	standard.co.uk.57834	5	rater1	"On Sunday, the Foreign Secretary defended the sudden reimposition of restrictions as a ""real-time response"" to a worrying spike in infections reported in the region."	В воскресенье министр иностранных дел защитил внезапное возобновление ограничений как «реакцию в режиме реального времени» на тревожный всплеск инфекций, зарегистрированных в регионе.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	6	rater1	"He said the situation was then assessed yesterday afternoon ""and we took the decision as swiftly as we could."""	Он сказал, что ситуация была оценена вчера днем, «и мы приняли решение так быстро, как только могли».	-1	-1	no-error
metricsystem1	standard.co.uk.57834	7	rater1	"""We can't make apologies for doing so,"" he added."	«Мы не можем извиняться за это», — добавил он.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	8	rater1	"""We must be able to take swift, decisive action, particularly in relation to localised, or internationally in relation to Spain or a particular country, where we see we must take action."""	«Мы должны быть в состоянии предпринять быстрые и решительные действия, особенно в отношении местных или международных в отношении Испании или конкретной страны, где мы видим, что мы должны принять меры».	-1	-1	no-error
metricsystem1	standard.co.uk.57834	9	rater1	"""Otherwise, we risk re-infection into the UK, potentially a second wave here and then another lockdown."""	«В противном случае мы рискуем повторно заразиться в Великобритании, возможно, вторая волна здесь, а затем еще одна блокировка».	116	130	major
metricsystem1	standard.co.uk.57834	10	rater1	Transport secretary among Spain holidaymakers forced to quarantine	Министр транспорта среди отдыхающих Испании вынуждена уйти на карантин	44	56	major
metricsystem1	standard.co.uk.57834	11	rater1	The decision was made after Spain recorded more than 900 new daily Covid-19 cases for two days running.	Решение было принято после того, как в Испании в течение двух дней подряд было зарегистрировано более 900 новых случаев Covid-19 в день.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	12	rater1	The Foreign Secretary acknowledged that many tourists had been left with no time to cancel or alter their plans.	Министр иностранных дел признал, что у многих туристов не было времени отменить или изменить свои планы.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	13	rater1	"""I understand it is disruptive for those going through this who are in Spain or have been considering going but we must be able to take swift, decisive action to protect the UK,"" he said."	«Я понимаю, что это мешает тем, кто проходит через это, кто находится в Испании или собирается поехать, но мы должны быть в состоянии предпринять быстрые и решительные действия для защиты Великобритании», — сказал он.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	14	rater1	"""We've made such progress in getting the virus down and preventing the virus re-taking hold in the UK."""	«Мы добились такого прогресса в борьбе с вирусом и предотвращении повторного распространения вируса в Великобритании».	13	22	major
metricsystem1	standard.co.uk.57834	15	rater1	"Shadow Health Secretary Jonathan Ashworth condemned the Government for its ""frankly shambolic"" handling of the measure."	Теневой министр здравоохранения Джонатан Эшворт осудил правительство за «откровенно сумбурное» обращение с этой мерой.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	16	rater1	"He said Downing Street's sudden decision had left holidaymakers ""confused and distressed."""	Он сказал, что внезапное решение Даунинг-стрит привело отдыхающих в «растерянность и огорчение».	-1	-1	no-error
metricsystem1	standard.co.uk.57834	17	rater1	"The Labour MP told Sophy Ridge: ""I understand why they've made the decision but, of course, the way in which this decision has been made in the last 24 hours is frankly shambolic."	Депутат от Лейбористской партии сказал Софи Ридж: «Я понимаю, почему они приняли это решение, но, конечно, то, как это решение было принято за последние 24 часа, откровенно хаотично.	181	182	minor
metricsystem1	standard.co.uk.57834	18	rater1	"""There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks"" quarantine."	«В настоящее время в Испании есть отдыхающие, которые находятся в замешательстве и огорчении, есть люди, которые собираются отправиться в отпуск в Испанию и на такие острова, как Тенерифе, которые находятся в замешательстве, и они не знают, разрешит ли их работодатели провести двухнедельный карантин.	256	271	major
metricsystem1	standard.co.uk.57834	19	rater1	"""The Government is just saying, ""we hope that employers co-operate."""""	«Правительство просто говорит: «мы надеемся, что работодатели будут сотрудничать».	-1	-1	no-error
metricsystem1	standard.co.uk.57834	20	rater1	"""The way in which this decision has been made in the last 24 hours is frankly shambolic."""	«То, как это решение было принято за последние 24 часа, откровенно хаотично».	-1	-1	no-error
metricsystem1	standard.co.uk.57834	21	rater1	What does Spain being on quarantine list mean for holidaymakers?	Что значит Испания в списке карантина для отдыхающих?	-1	-1	no-error
metricsystem1	standard.co.uk.57834	22	rater1	"He urged ministers to offer ""clarity"" on whether those who are asked to quarantine will receive financial support if their employers refuse to pay them during the quarantine period."	Он призвал министров дать «разъяснение» относительно того, получат ли те, кого попросят на карантин, финансовую поддержку, если их работодатели откажутся платить им в период карантина.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	23	rater1	"He added that clear information was also needed ""for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."""	Он добавил, что четкая информация также необходима «для тех отдыхающих, которые в настоящее время находятся в Испании, которые должным образом накопили весь год на свой семейный отдых, которые смущены и расстроены».	-1	-1	no-error
metricsystem1	standard.co.uk.57834	24	rater1	"""The way in which this decision has been communicated is obviously causing anxiety,"" he stressed."	«То, как было сообщено об этом решении, очевидно, вызывает беспокойство», — подчеркнул он.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	25	rater1	Mr Raab said no worker following the new guidance should be penalised by employers, including by being put onto sick pay.	Г-н Рааб сказал, что работодатели не должны наказывать работников, соблюдающих новые правила, в том числе оплачивать больничный.	-1	-1	no-error
metricsystem1	standard.co.uk.57834	26	rater1	"He said: ""We are changing the rules - the law is changed in relation to holidaymakers and travellers - and of course we expect employers to show those employees who will have to quarantine because of the law the flexibility they need."	Он сказал: «Мы меняем правила — меняется закон в отношении отдыхающих и путешественников — и, конечно, мы ожидаем, что работодатели продемонстрируют тем сотрудникам, которым придется находиться на карантине из-за закона, необходимую им гибкость.	-1	-1	no-error
